k,AUC_SyNQA,AUC_Naive,Str_SyNQA,Str_Naive,Red_SyNQA,Red_Naive
5,0.40046296296296297,0.455191798941799,0.3012366689039124,0.3636705467038623,0.18554437585810638,0.11674858057950432
7,0.40046296296296297,0.4300595238095238,0.3012366689039124,0.30014142574090535,0.18554437585810638,0.13492006294071682
9,0.40046296296296297,0.4489087301587302,0.3012366689039124,0.2846339490191831,0.18554437585810638,0.12834924981611062
11,0.40046296296296297,0.4226190476190476,0.3012366689039124,0.2822405061239835,0.18554437585810638,0.12853723004573467
13,0.40046296296296297,0.4300595238095238,0.3012366689039124,0.28637080989158825,0.18554437585810638,0.12266615930204061
15,0.40046296296296297,0.5962301587301587,0.3012366689039124,0.29076314220851635,0.18554437585810638,0.12698474862069878
17,0.40046296296296297,0.5920965608465609,0.3012366689039124,0.292895116688439,0.18554437585810638,0.12434816266421789
19,0.40046296296296297,0.48462301587301587,0.3012366689039124,0.285653889605485,0.18554437585810638,0.12797780114547064
21,0.40046296296296297,0.4088955026455026,0.3012366689039124,0.28718673473558914,0.18554437585810638,0.12503099236487814
23,0.40046296296296297,0.4259259259259259,0.3012366689039124,0.2894468097849122,0.18554437585810638,0.12516417205317296
25,0.40046296296296297,0.4393187830687831,0.3012366689039124,0.2883262297275396,0.18554437585810638,0.12680933352898596
27,0.40046296296296297,0.46841931216931215,0.3012366689039124,0.2873225620614658,0.18554437585810638,0.12591894867475464
29,0.40046296296296297,0.4080687830687831,0.3012366689039124,0.2863318326616045,0.18554437585810638,0.12655741397161277
31,0.40046296296296297,0.4631283068783069,0.3012366689039124,0.28719294812807933,0.18554437585810638,0.12614338206197986
33,0.40046296296296297,0.4366732804232804,0.3012366689039124,0.28427324326115505,0.18554437585810638,0.12689131040985754
35,0.40046296296296297,0.42146164021164023,0.3012366689039124,0.28400400727887515,0.18554437585810638,0.12735841652319738
37,0.40046296296296297,0.41567460317460325,0.3012366689039124,0.2845206591573914,0.18554437585810638,0.12797896684438081
39,0.40046296296296297,0.4080687830687831,0.3012366689039124,0.28493364544049965,0.18554437585810638,0.12802191048188713
41,0.40046296296296297,0.4093915343915344,0.3012366689039124,0.2830579262336073,0.18554437585810638,0.1292474163575664
43,0.40046296296296297,0.46742724867724866,0.3012366689039124,0.28205382127487555,0.18554437585810638,0.12937418746336296
45,0.40046296296296297,0.4775132275132275,0.3012366689039124,0.27960489101032954,0.18554437585810638,0.12898127705961307
47,0.40046296296296297,0.4723875661375661,0.3012366689039124,0.28054061913957795,0.18554437585810638,0.1304892098289017
49,0.40046296296296297,0.4781746031746031,0.3012366689039124,0.28064352631756523,0.18554437585810638,0.12948819040042903
